A,Diamonds
3,Hearts
J,Hearts
J,Clubs
8,Spades
7,Diamonds
9,Hearts
3,Spades
10,Diamonds
9,Clubs
Q,Diamonds
3,Diamonds
7,Clubs
8,Clubs
2,Diamonds
5,Clubs
5,Spades
A,Spades
K,Spades
J,Diamonds
5,Hearts
7,Spades
2,Clubs
8,Hearts
A,Hearts
6,Clubs
J,Spades
9,Spades
K,Clubs
9,Diamonds
10,Clubs
3,Clubs
10,Spades
8,Diamonds
6,Diamonds
A,Clubs
6,Spades
Q,Spades
2,Hearts
K,Hearts
10,Hearts
4,Hearts
5,Diamonds
2,Spades
4,Diamonds
Q,Hearts
7,Hearts
Q,Clubs
4,Clubs
K,Diamonds
6,Hearts
